id,name,surname,club,categories
,Kamil,KOPEĆ,Kraśnik/CKB Kraśnik,"Pro Mężczyzn +85 kg / Man Professional +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Grzegorz,KRAWIEC,Kielce/Trener Kacper Team,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Paweł,KUROWSKI,Krosno/Iron crew,"Pro Mężczyzn +85 kg / Man Professional +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Jakub,MAJEWSKI,Kutno/Body Armor Skills,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Michał,PARAFINIUK,CKB Hall of madness Siemianowice Śląskie,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Tomasz,PELCZAR,Kraków,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Andrii,POCHKAI,Warszawa/Teamsobala,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Marek,SMOLARCZYK,Kęty/Dorian FC,"Pro Mężczyzn +85 kg / Man Professional +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Michał,STEGENKA,Warszawa/Box Ekipa,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Łukasz,WICHOWSKI,Warszawa/CKB Bemowo,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Max,ZIARKOWSKI,Oława/Synergia Cross Camp,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Maciej,ZIOBRO,Wrocław,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Piotr,BISEWSKI,Karwia,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Marcin,BOJANOWSKI,Łowicz,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Przemysław,CICHOŃ,Bochnia/Centrum Kettlebell Bochnia,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Andrzej,CISOWSKI,Świnoujście/Cisowski studio siły i sprawności,Pro Mężczyzn 85 kg / Man Professional 85 kg
